nfd,sender,id,ts,date,assetId,amount,usd,assetPriceAtTime
,SW33H674DOOLJJE3AS77EM6BKM47JMR3TICLJ7I34T7UV4EZFNLUS743VU,LTZ7SPXIQCU7UGGRVIAGTX5K36GZ47CGH3MMJ34KUROPWN6PGV6A,1687124628,2023-06-18T21:43:48.000Z,796425061,200,11.414000267422747,0.057070001337113735
409.algo,OJMRO6OGTQR4GMOKU7GMRQMAQ6OWNLAJAMPIRILWNOSMV2CKXCOY76S42E,24AYTXF5KZYGM57UR75N2FZ5EZJRZKAKOAFMONEUNHDWMVUP646Q,1687100011,2023-06-18T14:53:31.000Z,0,5,0.5916323022190444,0.11832646044380887
traveltech.algo,XFCZEMYFV2KZ3SY4QEF4JMCT6XJKVAU2QHQYTP4PA7STUOJD53IIXTX6ZM,SJ4GBTM65CYF3AWHNI4RVRPNVBPTINKEFTJAIFEQPMI6NYOCHITA,1687098782,2023-06-18T14:33:02.000Z,796425061,100,6.248979798555827,0.06248979798555827
jaxnole.algo,AAC2JBF6S6WIFE3SIWKDJ46HOBOXFBGBMMMSJDMIBE25SMBG4H2D2TJ3XY,DYMI5MEUPLRYBAL5GTTVV365XLOCMP5GQ3ZJQUMXA7RG2ZX4QZ6A,1687098410,2023-06-18T14:26:50.000Z,796425061,250,15.643925554864754,0.06257570221945902
native.algo,DLO6VI4XJJWZOYUHSEKP3MVQZXGEOKDJUTTL5NJIS7UMXAPETOYLX3KNVE,A3O2BZ6BJIL4ZAMNBK7EGKTTB23MI4QKVL4HFFYBHUZ3JT4AAZIQ,1687028877,2023-06-17T19:07:57.000Z,796425061,16000,1116.8758923088303,0.06980474326930189
goannabe.algo,2YNMNHBUF7ZMT4RULXMY2U7WJYBYKCMX4NM2S6OBQBPVB42BWSXYXMQ7OU,IJIMZTS2XOQRYCLFUSPFJDZWMRU5FUNDJOGEVRE45W7WRQ4KUJLA,1687017882,2023-06-17T16:04:42.000Z,1107034824,86.975746,28.189499532392983,0.3241075912403555
409.algo,OJMRO6OGTQR4GMOKU7GMRQMAQ6OWNLAJAMPIRILWNOSMV2CKXCOY76S42E,IR4SAXMU2RMNCKDTJT3FZPJ2SIUQORCL3JIMZOSHZRB2PBMM7OQA,1686900673,2023-06-16T07:31:13.000Z,796425061,100,6.818475840152091,0.06818475840152091
bso4life.algo,MXSQS4VVGGQDVFDVCG2PKGYKMMJLT25SRTCZDMIQLZSSX53F3GQWRHYWTI,7LNKWVV7XFYMVPJ7FBISLKQEKGVLNDBNJNWQ743XSX44N2RQJXVQ,1686898999,2023-06-16T07:03:19.000Z,796425061,22.2,1.514273755131838,0.06821052951044315
traveltech.algo,XFCZEMYFV2KZ3SY4QEF4JMCT6XJKVAU2QHQYTP4PA7STUOJD53IIXTX6ZM,JVCYIWDMTLRD23NIMQAUDJLTHNCK5YJ56AGNDETGCZQGHP4S7Y2Q,1686867000,2023-06-15T22:10:00.000Z,796425061,100,6.793543958311485,0.06793543958311485
bomberharris.algo,Y5MR7GPJZAY7H7QOTS3MONOSOKVEEVGSRCUMBS55IP625TSEITYV5LLGF4,K4G4JMVZHHQXRT7PWBYE3N5HG4VGVKCXWS5QV2NVQTXOU5A2RZMQ,1686863882,2023-06-15T21:18:02.000Z,796425061,500,33.99598903383638,0.06799197806767276
animalstyle.algo,MRQZC23CLRJJXRHXXKW3GIALRAFIVB6P3GNSNFLKWJ2QK3PYBTSSICIZU4,YH6ULS3VN3YCKRZQJTZPG2ZJPOCQVWX7MJL5VF53FFCGWGLIXDJA,1686815107,2023-06-15T07:45:07.000Z,0,20,2.2382325877812455,0.11191162938906227
