donor,usd_value,perc,ids
HIBMJUF7EAWJXCIMNROUNJBJNXGUAB45QEJA4IV4XCNWQEBN2F7VMB3PKM,21.242413041225763,0.08381270867981934,34JLUDAQIMCS6HA5ZRASODQJO34N5CH77JJJ3EF7EDEYYDGPBYEQ,NCQ6LJTN6WUTUBPELI3FWTLINLOBAGU5RWIUTTZZJZCFE3KFFOGQ,MW7OXLKFEY5IC3GWTFEYRASDEXRZIY6BBS3SS3EDHAUSCQPQXKQA,EHGBI7EH3WRXBEDE27SUC2ENK3T2AMQ3NX26Y5MZPJFIDQ4BEHOA
ILYXSZTSTUPH76SNF5UYZLGAI2T6QH7UVML5TM47O5HEISMW4U7UABJI7E,19.75478836015018,0.07794323171512972,UFPSFZJGIZYE5GKYV4HM7OT76TC2PDPVX3MZF2SEEC3CPIUHNEXQ
OJMRO6OGTQR4GMOKU7GMRQMAQ6OWNLAJAMPIRILWNOSMV2CKXCOY76S42E,19.56108152065122,0.07717895437635909,UJZ632B3DEEM5TIEJJQDTLQKXJUKO7RLMKRDMOCCPBVWOZ4QRS2A,OP4VCKBBNJ2PMX7RILATWT3NEQRYCVIESYOADTSOVRIKYQ64RP4Q,24AYTXF5KZYGM57UR75N2FZ5EZJRZKAKOAFMONEUNHDWMVUP646Q,IR4SAXMU2RMNCKDTJT3FZPJ2SIUQORCL3JIMZOSHZRB2PBMM7OQA,LUL4DHZ5GNUAPFS6DD674DNOUWXGDLIPFFTLRIU7KT7OXUQP67NA
6EZWLKLMUP2XH6QKZ77IFH5COX6UWN2S367573OWI5QFTQCBSDTTJU3TRU,19.074245806028394,0.07525812646262692,3XLRUCMSF3SQWLY636HMJOZZGE2VJLRUECIW7ETYY7T6BC6JIP5A,UK7SYJF4KOHE2XSNLPBF5T3LWDFRQSK62QXFYB3JEC2NJXGNRYWQ,2GY3A3FR6WBUNMJDHXOSCXSN4M27SC3PRG4JGTNDBZ3ZSWYDYDTQ
XFCZEMYFV2KZ3SY4QEF4JMCT6XJKVAU2QHQYTP4PA7STUOJD53IIXTX6ZM,18.656753722026135,0.07361089635064746,SJ4GBTM65CYF3AWHNI4RVRPNVBPTINKEFTJAIFEQPMI6NYOCHITA,JVCYIWDMTLRD23NIMQAUDJLTHNCK5YJ56AGNDETGCZQGHP4S7Y2Q,ZQN73UIFDHDZ4QXM23OQYO52FG2LQ554LVWTEZT227JCM4LIKQHA
ZSCNQXMWLFQQOXCDPRVJIHELDHVIKPOHHUB5KOZUKWS5A5HGETIIRI62FQ,18.492677319471124,0.07296352697213629,E3L3UGFGFJSLU22ZZX6VYWU3GSVB5K7YB2EWXCSOUPUNRHNP2LHA
2YNMNHBUF7ZMT4RULXMY2U7WJYBYKCMX4NM2S6OBQBPVB42BWSXYXMQ7OU,17.369840046287422,0.06853333191427963,IJIMZTS2XOQRYCLFUSPFJDZWMRU5FUNDJOGEVRE45W7WRQ4KUJLA,PAR2Y6SETALW6KGKEHYIIOU7UI6B4GHHYB4OGDSYPGG7GUNZCKWA,YBPI6BGCCLQ4XCIBVOEKZC7AX7WPWUDPWEVIGF5Z2LWCIZPHO3AA
FLQYEC6WTQWIELGB77QP2VFRRONPTRN6A5XB2B6HPL2RP3IA3MLLINY64Y,15.17008357517448,0.05985411322466424,QSKIEMTKHFPLG3HU4OP3WISQI7ZSVA5SKEXXWTHNGHLMERKFXFWA
GO24CHPRAZLFUK3ZMQPEPTMCQHOFI7NGSFH65KPNYGIZOP7CV7H4O5I2RQ,14.61794560801059,0.05767563291250924,KXINOQKCWUBAWLJISWIYBR4YGD2QMYC6DSBOHYMGCC72QUKBFF4Q
MQ2QJHZSZ6A7ZXPFE2EPIWLYUMRRDO3DQBEO6NIQ2B5A5OJ4VMWOOI2AX4,14.18545025660236,0.05596920686653201,KYAPOTMFMD3SAX6D7PFFWAF5RRPHUJTGYQCLG536VMT65EEZ3VIQ
